Asset,i1960,i1961,i1962,i1963,i1964,i1965,i1966,i1967,i1968,i1969,i1970,i1971,i1972,i1973,i1974,i1975,i1976,i1977,i1978,i1979,i1980,i1981,i1982,i1983,i1984,i1985,i1986,i1987,i1988,i1989,i1990,i1991,i1992,i1993,i1994,i1995,i1996,i1997,i1998,i1999,i2000,i2001,i2002,i2003,i2004,i2005,i2006,i2007,i2008,i2009,i2010,i2011,i2012,i2013,i2014,i2015,i2016
Manufacturing,2.8,2.8,2.8,2.9,3.5,5.1,6.5,5.9,6,6.8,7,6.2,5.9,7.9,10,10.5,10.1,11,16.1,22,20.5,25.4,26,19.4,20.8,24.1,20.9,21.1,23.1,28.7,33.5,31.3,28.7,23.3,28.7,35.2,37.9,37.6,40.2,34.8,37.3,37.5,22.4,21,22.9,28.2,32,39.6,52.1,55.7,39.2,38.4,45.3,48.3,56.5,77.2,72.6
Medical buildings,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.6,0.6,0.7,0.9,1.3,1.9,2.5,3.3,3,3.8,4.6,4.2,3.9,4.1,4.1,3.9,3.2,2.6,2.7,2.9,3.3,3.6,4.5,4.6,5.5,5.7,5.2,5.5,6.8,8.6,9,8.1,9,10.4,8.5,5.9,6.1,7.2,7.9,8.1,7.9,8.4
Metalworking machinery,1.5,1.4,1.6,1.9,2,2.6,3.3,4.2,3.9,4,4,3.1,3.7,4.9,6.1,6.1,6.4,7.2,9.3,11.6,13.3,14.1,12.2,9.3,11.3,12.5,13.1,12.5,13.9,16.7,16,15.7,16.9,18.6,22.2,26.3,27.3,29.6,29.9,29,29.8,25.4,23,22.7,23.2,26.1,27.6,28.5,28.7,20.7,20.3,26.4,31.2,31.6,32.6,33.2,35
Mining,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.4,1.3,1.4,1.8,2.5,2.1,1.5,1.7,1.7,1.1,0.8,0.9,1,1.1,1.3,1.3,1.3,1.8,1.3,1.5,1.4,1.1,1,1.3,1.3,2.3,2.1,3.6,5,8,7.4,6.9,5.6,6.6,10.8,10.5,11,10.1,9.5,4.8
Mining and oilfield machinery,0.5,0.4,0.4,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.9,1.1,0.9,1.1,1.7,2.7,3,3.6,3.6,3.9,4.5,7.6,5.6,3.2,2.8,2.5,1.3,1.2,1.5,1.9,1.8,1.4,1.1,2.3,2.3,2.5,2.7,3.3,3.3,4.9,4.8,5.5,3.5,4.4,5.5,8,12.3,17.3,18.1,14.9,16.9,21.6,28.8,27.7,29.1,23.1,11.6
Mobile structures,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.4,1.5,1.7,1.9,2.2,2.8,4,3.4,3.9,3.3,3.6,4.3,4.3,5,4.7,4.3,5,4.3,3.8,3.9,3.5,4.3,3.3,2.4,2.7,3.3,3.1,4,4.4,4.3,3,3.3,3.2,2.8,2.6,2.8,3.2,2
Motor vehicles and parts manufacturing,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.4,1.4,1.6,1.9,2.3,2.4,2.3,2.7,3.2,3.8,4.2,4.7,4.7,4.8,5.3,5.9,6.7,7.8,7.8,8.4,9.3,9.1,9.6,9.9,11.3,12.6,14.3,15.5,15,14.9,16.4,16.4,15.7,15.6,16.3,16.6,17,17.5,16.9,14,12.2,12.3,14.4,16.8,17.4,19.4,19.9,21.6
Multimerchandise shopping,0.8,0.9,1,0.9,1,1.3,1.3,1.3,1.5,1.8,1.9,2.2,3,3.4,3.6,2.9,2.9,3.5,4.5,6,6.5,6.8,6,6.4,9.3,11.7,11.9,12.6,13.2,13.7,13.7,9.9,9.8,10.9,11.4,11.2,12.7,11.5,12.7,14.8,14.6,16.2,15.6,15.4,18.8,22.8,29.2,34.8,32,18.4,12.5,13.4,14.9,16.7,19.5,19.6,21.3
Music,0.3,0.4,0.4,0.4,0.3,0.3,0.5,0.6,0.6,0.8,0.8,0.8,0.9,1,1,1.1,1.2,1.6,1.7,1.8,1.8,2,1.7,1.6,2.1,2,2.4,3,3,3.3,3.9,4.2,4.6,5,6.1,6.1,5.7,6.5,6.5,8.1,8.2,7.9,7.7,8.2,8.7,8.4,8.1,7.8,7.9,7.9,7.6,6.8,6.7,6.5,6.5,7.1,7.6
Navigational and other instruments manufacturing,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.7,2,2.2,2.4,2.5,2.9,3.2,3.3,3.6,3.9,4.3,4.9,5.6,6.2,6.8,7.3,8.1,8.6,8.7,8.9,9.2,9.2,9.5,9.6,10.1,10.1,11.2,13,15.4,18.8,20.5,20.9,27,31.5,23.1,21.2,20.7,21.7,27,27.9,30.6,27.9,28.2,29.8,29.7,29.7,33.7,34.1,36.2
Nonelectro medical instruments,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.8,1.1,1.2,1.5,1.6,2,2.4,2.8,3.3,3.6,4.4,4.8,5.2,6.3,8.3,9.1,10.1,10.4,11.1,12.4,13.5,14.5,16.4,17.8,19.9,22.1,21.4,21.8,23.8,26.4,30.3,32.2,35.2,38.5,43.8,48.5,52.6,61.2,64,72.3,73.5,68.3,71.8,74.6,77.6,82.1,81,83.1,85
Nonmedical instruments,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.1,1.3,1.7,1.8,2.1,3.5,4.1,4.4,4.9,5.6,6.1,6.3,7.8,8.3,8.6,8.9,9.2,11.7,12.9,13.4,14.3,14.5,15.4,17,17.9,16.6,17,17.1,18.4,19.3,19.7,18.8,20.6,21.7,22.9,26,26.5,22.2,25,27,31.4,32,35.4,36.1,37.1
Nuclear fuel,9.4,8.8,9.3,10,11.4,13.7,16.1,16.9,17.3,19.1,20.3,19.5,21.4,26,30.7,31.3,34.1,39.4,47.7,56.2,60.7,65.5,62.7,58.9,68.1,72.5,75.4,76.7,84.2,93.3,92.1,89.3,91.7,101,112.5,127.8,135.5,139,145.7,147.3,160.8,149.7,139.4,141,141.7,159.6,178.6,191,189.8,149.6,150.3,187.3,207.9,205.4,215.3,216.9,220.9
Office,1.8,2,2.2,2.2,2.4,2.9,3,3,3.4,4.1,4.3,5.2,5.4,6.2,6.5,5.4,5.3,6,7.7,11.2,15.7,20.5,26.8,24.7,31,38,34.8,32.4,34.1,34.5,32.8,26.1,21.9,22.8,24.3,28,30.7,37.7,46.1,51.4,59.9,59.5,40.1,34.6,37.4,42.6,52.1,61.1,63,42.1,27.3,26.7,30.9,34,44.1,53.9,67.5
Office and accounting equipment,1.2,1,0.9,1,1,1,1.3,1.3,1.2,1.4,1.2,1.1,1.3,1.9,2.6,2.3,2.7,2.8,4.2,5.2,5.7,6.1,4.7,7.6,8.6,8.3,9.7,6.3,5.6,6.1,5,4.6,5.1,5.6,5.7,5.8,5.9,5.8,5.1,3.7,3.9,4.8,5.2,8,8.3,8.5,8.8,4.4,4.8,3.8,3.5,3.2,3.9,3.8,4.1,4.1,4.3
Other,1.1,1.2,1.3,1.4,1.6,1.7,2,1.8,2,2.2,2.5,2.7,3.1,3.8,4.5,4.3,4.9,5.8,7,8.6,8.8,9.7,10.9,10.8,11.8,12.5,13.6,14.8,16,17.5,17.7,17.8,18.2,21.4,23.7,25.6,27.4,29.3,31.8,33.8,36.4,37.9,40.8,46.3,50.1,55.7,59.4,60.6,58.6,49.9,49.9,53.2,49.5,53.9,57.3,60.4,60.8
Other agricultural machinery,1.6,1.6,1.8,2.2,2.5,2.7,3.3,3.4,3.3,3.4,4,3.9,4.8,6.4,6.8,8.5,8.8,9.5,10.7,12.7,11.6,12.6,9.5,8.5,9.1,7.3,6.8,6.6,9,11,12.5,10.6,9.4,10.8,12.3,12.7,12.8,15.2,15.8,11.4,12.7,13.7,15.9,17.4,19.7,21.6,20.6,21.2,25.1,26.4,25,28.5,39.5,46.8,48.6,40.6,36.7
